,DATE,trail,HOUR,PRCP,TMAX,DEW_POINT
136,2024-05-17,Caesar Creek,,0.16732292499999998,72.28,62.436990731544604
126,2024-05-18,Caesar Creek,,0.0,80.37,66.98412657234397
108,2024-05-19,Caesar Creek,,0.0,86.63,64.39785309498784
105,2024-05-20,Caesar Creek,,0.0,87.01,68.51682403121663
84,2024-05-21,Caesar Creek,,0.0,86.99,70.68546686146942
73,2024-05-22,Caesar Creek,,0.725197242,83.68,68.81951204812157
63,2024-05-23,Caesar Creek,,0.0066929170000000005,78.8,64.80125319632975
54,2024-05-24,Caesar Creek,,0.0,81.64,68.83748037107597
47,2024-05-25,Caesar Creek,,0.0,81.75,68.13000075659095
3,2024-05-26,Caesar Creek,12,0.014566929133858268,78.39,68.59735721893028
15,2024-05-26,Caesar Creek,11,0.005118110236220473,77.81,68.44311848977023
30,2024-05-26,Caesar Creek,13,0.0,79.48,68.8180870610199
138,2024-05-17,Devou Park,,0.131102433,72.12,64.0642092857613
122,2024-05-18,Devou Park,,0.0,81.32,64.51260841835415
109,2024-05-19,Devou Park,,0.0,86.59,64.26080799672991
104,2024-05-20,Devou Park,,0.0,87.08,64.55671483572928
93,2024-05-21,Devou Park,,0.0,86.22,68.10852552921004
82,2024-05-22,Devou Park,,0.15039378199999998,83.41,69.18247398518821
71,2024-05-23,Devou Park,,0.0,77.23,64.9087601390404
56,2024-05-24,Devou Park,,0.004330711,80.94,66.67461360034024
44,2024-05-25,Devou Park,,0.0,81.64,67.7128563008945
12,2024-05-26,Devou Park,11,0.007086614173228346,77.36,71.05887091559566
17,2024-05-26,Devou Park,12,0.03188976377952756,77.61,70.93564082187234
27,2024-05-26,Devou Park,13,0.0,78.22,71.15697076315178
133,2024-05-17,East Fork State Park,,0.240551311,70.7,63.64495099450632
131,2024-05-18,East Fork State Park,,0.0,80.1,64.64475838794674
117,2024-05-19,East Fork State Park,,0.0,85.32,62.215512646150934
100,2024-05-20,East Fork State Park,,0.0,86.18,62.24328125790945
94,2024-05-21,East Fork State Park,,0.393307299,85.53,67.33428696323881
78,2024-05-22,East Fork State Park,,0.206299324,82.22,68.9234657583292
69,2024-05-23,East Fork State Park,,0.09133863199999999,76.42,63.102618914406804
55,2024-05-24,East Fork State Park,,0.0,80.24,67.90429287225469
38,2024-05-25,East Fork State Park,,0.0,81.34,65.77437661517556
5,2024-05-26,East Fork State Park,11,0.009448818897637795,77.05,70.02153155446766
16,2024-05-26,East Fork State Park,13,0.0,78.39,70.18119310093147
32,2024-05-26,East Fork State Park,12,0.02283464566929134,78.1,70.66499204703646
139,2024-05-17,England Idlewild,,0.291732441,71.28,63.51629546640311
123,2024-05-18,England Idlewild,,0.0,80.33,63.47449905182773
110,2024-05-19,England Idlewild,,0.0,85.73,64.4133237477284
103,2024-05-20,England Idlewild,,0.0,86.07,65.57092030173622
91,2024-05-21,England Idlewild,,0.0,85.08,68.10525985183601
81,2024-05-22,England Idlewild,,0.17401584199999998,82.38,68.72711958345978
65,2024-05-23,England Idlewild,,0.0,76.06,63.929781708590085
57,2024-05-24,England Idlewild,,0.0066929170000000005,79.84,66.29858363115676
45,2024-05-25,England Idlewild,,0.0,80.38,67.39973788351533
1,2024-05-26,England Idlewild,12,0.03740157480314961,76.26,70.34858030988363
11,2024-05-26,England Idlewild,11,0.012204724409448819,76.35,70.79329560836631
26,2024-05-26,England Idlewild,13,0.0,77.05,70.75706888811992
142,2024-05-17,Harbin Park,,0.309448986,71.85,63.629357474563825
130,2024-05-18,Harbin Park,,0.0,80.58,64.87853891427058
118,2024-05-19,Harbin Park,,0.0,86.14,63.807671216875136
99,2024-05-20,Harbin Park,,0.0,86.83,64.62030735307266
86,2024-05-21,Harbin Park,,0.0,86.27,67.2487204409345
76,2024-05-22,Harbin Park,,0.118897702,83.39,68.71327571775916
68,2024-05-23,Harbin Park,,0.004724412,77.61,65.00533121200242
58,2024-05-24,Harbin Park,,0.0,81.07,66.63610717923711
41,2024-05-25,Harbin Park,,0.0,81.5,67.43675000642202
8,2024-05-26,Harbin Park,11,0.004724409448818898,77.4,69.60811119933888
23,2024-05-26,Harbin Park,13,0.0,78.33,70.50771061636476
35,2024-05-26,Harbin Park,12,0.028346456692913385,77.65,69.46656945693087
141,2024-05-17,Hueston Woods,,0.693701162,71.29,65.00280986908983
128,2024-05-18,Hueston Woods,,0.0,79.72,64.06739502006461
114,2024-05-19,Hueston Woods,,0.0,85.55,65.55904041536952
102,2024-05-20,Hueston Woods,,0.0,85.91,66.26974672585543
90,2024-05-21,Hueston Woods,,0.0,85.01,68.38075422209343
74,2024-05-22,Hueston Woods,,0.073228386,83.17,68.99867206884889
61,2024-05-23,Hueston Woods,,0.015354339,77.07,63.97824752757176
52,2024-05-24,Hueston Woods,,0.0,80.29,66.93822105859742
43,2024-05-25,Hueston Woods,,0.0,79.97,67.9313989314772
10,2024-05-26,Hueston Woods,11,0.005118110236220473,76.23,69.22570387841942
19,2024-05-26,Hueston Woods,12,0.02677165354330709,76.8,69.40540413028378
28,2024-05-26,Hueston Woods,13,0.0,77.65,69.46656945693087
143,2024-05-17,Landen Deerfield,,0.087401622,71.47,62.719287162163496
129,2024-05-18,Landen Deerfield,,0.0,80.1,65.37399426631885
116,2024-05-19,Landen Deerfield,,0.0,85.82,62.941618960231544
96,2024-05-20,Landen Deerfield,,0.0,86.68,64.37004572790607
95,2024-05-21,Landen Deerfield,,0.0,86.0,66.99740473940236
72,2024-05-22,Landen Deerfield,,0.6590554739999999,83.12,68.52464538637051
60,2024-05-23,Landen Deerfield,,0.0,77.67,64.40473981621753
49,2024-05-24,Landen Deerfield,,0.0,80.94,67.83775991038088
37,2024-05-25,Landen Deerfield,,0.0,81.34,67.676554908427
0,2024-05-26,Landen Deerfield,13,0.0,79.12,70.10119187727227
4,2024-05-26,Landen Deerfield,11,0.0,77.49,70.07396813799018
31,2024-05-26,Landen Deerfield,12,0.02716535433070866,78.15,70.3335991430518
132,2024-05-17,Milford Trails,,0.178346553,71.98,64.09385809607404
125,2024-05-18,Milford Trails,,0.0,80.89,65.77690710467022
111,2024-05-19,Milford Trails,,0.0,86.34,63.60593292035299
106,2024-05-20,Milford Trails,,0.0,87.26,64.03953972440095
87,2024-05-21,Milford Trails,,0.14370086499999998,86.59,67.19061523340763
75,2024-05-22,Milford Trails,,1.516142551,83.43,69.37633543721739
67,2024-05-23,Milford Trails,,0.207874128,77.67,64.81894111348608
48,2024-05-24,Milford Trails,,0.0,81.21,67.78938835347213
46,2024-05-25,Milford Trails,,0.0,82.09,67.52874010709287
14,2024-05-26,Milford Trails,11,0.0,77.92,70.49059403137107
18,2024-05-26,Milford Trails,12,0.02874015748031496,78.53,71.0816011176798
29,2024-05-26,Milford Trails,13,0.0,79.47,71.22408806112563
137,2024-05-17,Mitchell Memorial Forest,,0.272441092,72.28,64.2025702074392
120,2024-05-18,Mitchell Memorial Forest,,0.0,81.1,64.72988538271201
113,2024-05-19,Mitchell Memorial Forest,,0.0,86.67,64.76860557114146
98,2024-05-20,Mitchell Memorial Forest,,0.0,87.15,66.01066159181046
92,2024-05-21,Mitchell Memorial Forest,,0.0,86.22,68.14583591994344
79,2024-05-22,Mitchell Memorial Forest,,2.1023633399999997,83.7,69.03198214966406
64,2024-05-23,Mitchell Memorial Forest,,0.0,77.38,65.53798181355782
53,2024-05-24,Mitchell Memorial Forest,,0.0,81.03,66.58854628721224
39,2024-05-25,Mitchell Memorial Forest,,0.0,81.41,67.57832926403354
6,2024-05-26,Mitchell Memorial Forest,11,0.007874015748031498,76.86,70.2066205384663
21,2024-05-26,Mitchell Memorial Forest,13,0.0,77.41,70.37090635816052
33,2024-05-26,Mitchell Memorial Forest,12,0.029133858267716535,76.84,70.18717955188467
140,2024-05-17,Mount Airy Forest,,0.147244174,71.19,63.08578588243533
127,2024-05-18,Mount Airy Forest,,0.0,80.19,63.56101174199257
112,2024-05-19,Mount Airy Forest,,0.0,85.62,62.82166496941851
97,2024-05-20,Mount Airy Forest,,0.0,86.11,63.57646526217297
89,2024-05-21,Mount Airy Forest,,0.0,85.24,66.68091894616404
83,2024-05-22,Mount Airy Forest,,0.19685049999999998,82.63,67.9213052810312
66,2024-05-23,Mount Airy Forest,,0.0,76.39,64.0129890743147
51,2024-05-24,Mount Airy Forest,,0.0,80.1,65.58906738884377
40,2024-05-25,Mount Airy Forest,,0.0,80.67,66.38154641165123
7,2024-05-26,Mount Airy Forest,11,0.006692913385826772,77.45,70.40972529280714
22,2024-05-26,Mount Airy Forest,13,0.0,78.37,70.92658517435031
34,2024-05-26,Mount Airy Forest,12,0.030708661417322838,77.58,70.53588615638924
134,2024-05-17,Premier Health Bike Park,,0.10236226,71.85,63.06710858960813
124,2024-05-18,Premier Health Bike Park,,0.0,80.24,66.81832597767274
119,2024-05-19,Premier Health Bike Park,,0.0,86.2,63.60421046623829
101,2024-05-20,Premier Health Bike Park,,0.0,86.76,66.60637104885373
85,2024-05-21,Premier Health Bike Park,,0.0,86.32,68.01814077728226
80,2024-05-22,Premier Health Bike Park,,1.909056149,83.37,68.44285211831156
62,2024-05-23,Premier Health Bike Park,,0.0,78.4,64.0187098777746
50,2024-05-24,Premier Health Bike Park,,0.0,81.3,68.13865345970244
42,2024-05-25,Premier Health Bike Park,,0.0,81.55,67.432309960683
9,2024-05-26,Premier Health Bike Park,11,0.004330708661417323,77.52,69.34102347895718
24,2024-05-26,Premier Health Bike Park,13,0.0,79.32,70.2936673398499
25,2024-05-26,Premier Health Bike Park,12,0.020078740157480318,78.1,69.90114248875763
135,2024-05-17,Tower Park,,0.15039378199999998,71.82,63.86654997350355
121,2024-05-18,Tower Park,,0.0,81.1,64.20503021916811
115,2024-05-19,Tower Park,,0.0,86.27,63.504445619195586
107,2024-05-20,Tower Park,,0.0,86.85,64.4272574623055
88,2024-05-21,Tower Park,,0.0,86.14,67.5372558155598
77,2024-05-22,Tower Park,,0.39527580399999995,83.03,68.9116071551068
70,2024-05-23,Tower Park,,0.0,77.04,64.93783770515407
59,2024-05-24,Tower Park,,0.0,80.8,66.69714667123955
36,2024-05-25,Tower Park,,0.0,81.72,67.66481111111811
2,2024-05-26,Tower Park,12,0.030314960629921263,77.29,70.62459614984196
13,2024-05-26,Tower Park,11,0.006299212598425198,76.91,70.25522290362487
20,2024-05-26,Tower Park,13,0.0,78.06,70.2465425886947
